id,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
135,India,2024,3,Others,7361054,8309733368.0
136,India,2024,4,Merchant payments,17419191808,8081429560226.0
137,India,2024,4,Peer-to-peer payments,9368204284,26633866936498.0
138,India,2024,4,Recharge & bill payments,1392529171,1255972669825.0
139,India,2024,4,Financial Services,32113340,18162331751.0
140,India,2024,4,Others,7217236,9369386297.0
141,Andaman & Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.4673655091
142,Andaman & Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.299749982
143,Andaman & Nicobar Islands,2018,1,Merchant payments,298,452507.168646613
144,Andaman & Nicobar Islands,2018,1,Financial Services,33,10601.419933464953
145,Andaman & Nicobar Islands,2018,1,Others,256,184689.8662902223
146,Andaman & Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.731074479
147,Andaman & Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.231047668
148,Andaman & Nicobar Islands,2018,2,Merchant payments,603,1024491.0133579008
149,Andaman & Nicobar Islands,2018,2,Financial Services,59,121336.0270987509
150,Andaman & Nicobar Islands,2018,2,Others,368,359838.50537474576
151,Andaman & Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.868377829
152,Andaman & Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.541635044
153,Andaman & Nicobar Islands,2018,3,Merchant payments,945,1627359.8394868043
154,Andaman & Nicobar Islands,2018,3,Financial Services,42,1481.4907042806485
155,Andaman & Nicobar Islands,2018,3,Others,194,314343.39410715323
156,Andaman & Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.512294375
157,Andaman & Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.97825177
158,Andaman & Nicobar Islands,2018,4,Merchant payments,1421,3552027.735492656
159,Andaman & Nicobar Islands,2018,4,Financial Services,29,76035.7877393286
160,Andaman & Nicobar Islands,2018,4,Others,340,468266.0606770435
161,Andaman & Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.8729725825
162,Andaman & Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.86839552
163,Andaman & Nicobar Islands,2019,1,Merchant payments,1759,3266589.8469614363
164,Andaman & Nicobar Islands,2019,1,Financial Services,62,116250.43671861099
165,Andaman & Nicobar Islands,2019,1,Others,283,497094.6484417205
166,Andaman & Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.256212333
167,Andaman & Nicobar Islands,2019,2,Peer-to-peer payments,14481,107525358.66652842
168,Andaman & Nicobar Islands,2019,2,Merchant payments,4031,4702152.616619372
169,Andaman & Nicobar Islands,2019,2,Financial Services,124,113278.91371326067
170,Andaman & Nicobar Islands,2019,2,Others,377,671471.222589792
171,Andaman & Nicobar Islands,2019,3,Recharge & bill payments,16219,8171737.705916681
172,Andaman & Nicobar Islands,2019,3,Peer-to-peer payments,13767,101079821.10344616
173,Andaman & Nicobar Islands,2019,3,Merchant payments,3519,4428734.574846684
174,Andaman & Nicobar Islands,2019,3,Financial Services,50,158857.94315586874
175,Andaman & Nicobar Islands,2019,3,Others,215,232624.75992853564
176,Andaman & Nicobar Islands,2019,4,Peer-to-peer payments,18128,121493224.30754511
177,Andaman & Nicobar Islands,2019,4,Recharge & bill payments,13851,9538690.916424634
178,Andaman & Nicobar Islands,2019,4,Merchant payments,2920,5247500.487902376
179,Andaman & Nicobar Islands,2019,4,Financial Services,60,295937.2110898865
180,Andaman & Nicobar Islands,2019,4,Others,200,263177.5944158883
181,Andaman & Nicobar Islands,2020,1,Peer-to-peer payments,18324,142332401.79234773
182,Andaman & Nicobar Islands,2020,1,Recharge & bill payments,18268,10850414.023977457
183,Andaman & Nicobar Islands,2020,1,Merchant payments,4424,7752871.558217709
184,Andaman & Nicobar Islands,2020,1,Financial Services,66,208231.73071652642
185,Andaman & Nicobar Islands,2020,1,Others,216,332393.19201521645
186,Andaman & Nicobar Islands,2020,2,Recharge & bill payments,38125,17659622.73418829
187,Andaman & Nicobar Islands,2020,2,Peer-to-peer payments,20303,141728757.73517442
188,Andaman & Nicobar Islands,2020,2,Merchant payments,4004,9236375.740471343
189,Andaman & Nicobar Islands,2020,2,Financial Services,175,706932.1397115812
190,Andaman & Nicobar Islands,2020,2,Others,355,313313.0646014327
191,Andaman & Nicobar Islands,2020,3,Recharge & bill payments,59310,24756220.875469353
192,Andaman & Nicobar Islands,2020,3,Peer-to-peer payments,40697,289078946.7312394
193,Andaman & Nicobar Islands,2020,3,Merchant payments,16096,22682992.238478824
194,Andaman & Nicobar Islands,2020,3,Financial Services,572,961836.7129860274
195,Andaman & Nicobar Islands,2020,3,Others,808,539449.7721868362
196,Andaman & Nicobar Islands,2020,4,Peer-to-peer payments,81439,533316526.1814983
197,Andaman & Nicobar Islands,2020,4,Recharge & bill payments,80811,33710030.534383245
198,Andaman & Nicobar Islands,2020,4,Merchant payments,59391,56867468.940003954
199,Andaman & Nicobar Islands,2020,4,Financial Services,965,1880546.9672370641
200,Andaman & Nicobar Islands,2020,4,Others,1925,1508083.6917299272
201,Andaman & Nicobar Islands,2021,1,Peer-to-peer payments,105458,665391395.715478
202,Andaman & Nicobar Islands,2021,1,Recharge & bill payments,84119,37160922.86506996
203,Andaman & Nicobar Islands,2021,1,Merchant payments,53090,78606979.05751458
204,Andaman & Nicobar Islands,2021,1,Financial Services,884,1469351.0852598653
205,Andaman & Nicobar Islands,2021,1,Others,1201,1077918.666433228
206,Andaman & Nicobar Islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
207,Andaman & Nicobar Islands,2021,2,Recharge & bill payments,120911,43691961.26275121
208,Andaman & Nicobar Islands,2021,2,Merchant payments,85143,103707408.50908463
209,Andaman & Nicobar Islands,2021,2,Financial Services,960,2038521.5136710338
210,Andaman & Nicobar Islands,2021,2,Others,1628,1327080.0560584562
211,Andaman & Nicobar Islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
212,Andaman & Nicobar Islands,2021,3,Recharge & bill payments,136010,51243450.85925055
213,Andaman & Nicobar Islands,2021,3,Merchant payments,118340,176991328.21761328
214,Andaman & Nicobar Islands,2021,3,Financial Services,990,2351013.441729573
215,Andaman & Nicobar Islands,2021,3,Others,2103,1650766.1267105162
216,Andaman & Nicobar Islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
217,Andaman & Nicobar Islands,2021,4,Merchant payments,210164,322842314.62433755
218,Andaman & Nicobar Islands,2021,4,Recharge & bill payments,135608,59243518.11464358
219,Andaman & Nicobar Islands,2021,4,Financial Services,1718,3137965.167474068
220,Andaman & Nicobar Islands,2021,4,Others,2855,2453640.142743944
221,Andaman & Nicobar Islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
222,Andaman & Nicobar Islands,2022,1,Merchant payments,284298,370091558.68373305
223,Andaman & Nicobar Islands,2022,1,Recharge & bill payments,163401,71300133.66101266
224,Andaman & Nicobar Islands,2022,1,Financial Services,1757,2869682.0229511866
225,Andaman & Nicobar Islands,2022,1,Others,2643,2440321.9820225406
