id,State,Year,Quarter,Registered_users,App_opens,User_brand,User_count,User_percentage
180,India,2022,1,372951831,15724195113,Oppo,49093857,0.13163591895597906
181,India,2022,1,372951831,15724195113,Realme,32685615,0.08764031245632897
182,India,2022,1,372951831,15724195113,Apple,10780434,0.028905700693556857
183,India,2022,1,372951831,15724195113,OnePlus,7974546,0.021382241182776228
184,India,2022,1,372951831,15724195113,Motorola,5610140,0.015042532396093801
185,India,2022,1,372951831,15724195113,Huawei,4882972,0.013092768540396307
186,India,2022,1,372951831,15724195113,Tecno,4550078,0.012200176059733569
187,India,2022,1,372951831,15724195113,Others,25835848,0.06927395404046159
188,Andaman & Nicobar Islands,2018,1,6740,0,Xiaomi,1665,0.2470326409495549
189,Andaman & Nicobar Islands,2018,1,6740,0,Samsung,1445,0.21439169139465875
190,Andaman & Nicobar Islands,2018,1,6740,0,Vivo,982,0.1456973293768546
191,Andaman & Nicobar Islands,2018,1,6740,0,Oppo,501,0.07433234421364986
192,Andaman & Nicobar Islands,2018,1,6740,0,OnePlus,332,0.04925816023738872
193,Andaman & Nicobar Islands,2018,1,6740,0,Realme,316,0.04688427299703264
194,Andaman & Nicobar Islands,2018,1,6740,0,Apple,229,0.03397626112759644
195,Andaman & Nicobar Islands,2018,1,6740,0,Motorola,226,0.03353115727002967
196,Andaman & Nicobar Islands,2018,1,6740,0,Lenovo,202,0.02997032640949555
197,Andaman & Nicobar Islands,2018,1,6740,0,Huawei,158,0.02344213649851632
198,Andaman & Nicobar Islands,2018,1,6740,0,Others,684,0.10148367952522255
199,Andaman & Nicobar Islands,2018,2,9405,0,Xiaomi,2303,0.24486975013290802
200,Andaman & Nicobar Islands,2018,2,9405,0,Samsung,1923,0.20446570972886763
201,Andaman & Nicobar Islands,2018,2,9405,0,Vivo,1523,0.1619351408825093
202,Andaman & Nicobar Islands,2018,2,9405,0,Oppo,708,0.07527910685805422
203,Andaman & Nicobar Islands,2018,2,9405,0,OnePlus,466,0.049548112706007445
204,Andaman & Nicobar Islands,2018,2,9405,0,Realme,465,0.049441786283891544
205,Andaman & Nicobar Islands,2018,2,9405,0,Motorola,319,0.03391812865497076
206,Andaman & Nicobar Islands,2018,2,9405,0,Apple,308,0.03274853801169591
207,Andaman & Nicobar Islands,2018,2,9405,0,Lenovo,244,0.025943646996278574
208,Andaman & Nicobar Islands,2018,2,9405,0,Huawei,230,0.024455077086656035
209,Andaman & Nicobar Islands,2018,2,9405,0,Others,916,0.09739500265816055
210,Andaman & Nicobar Islands,2018,3,12149,0,Xiaomi,2950,0.24281833895793892
