id,State,Year,Quarter,Entity_type,Entity_name,Registered_users
270,India,2020,1,Pincode,110086,226703
271,India,2020,2,State,maharashtra,28765086
272,India,2020,2,State,uttar pradesh,22498519
273,India,2020,2,State,karnataka,18655366
274,India,2020,2,State,andhra pradesh,14319675
275,India,2020,2,State,rajasthan,13563201
276,India,2020,2,State,telangana,13378191
277,India,2020,2,State,west bengal,13222022
278,India,2020,2,State,tamil nadu,12150786
279,India,2020,2,State,gujarat,11392657
280,India,2020,2,State,madhya pradesh,11374423
281,India,2020,2,District,bengaluru urban,8028070
282,India,2020,2,District,pune,5144688
283,India,2020,2,District,jaipur,3182014
284,India,2020,2,District,thane,3135101
285,India,2020,2,District,mumbai suburban,3060916
286,India,2020,2,District,hyderabad,2653534
287,India,2020,2,District,ahmadabad,2384154
288,India,2020,2,District,rangareddy,2313748
289,India,2020,2,District,north twenty four parganas,1966125
290,India,2020,2,District,medchal malkajgiri,1963353
291,India,2020,2,Pincode,201301,445271
292,India,2020,2,Pincode,110059,365614
293,India,2020,2,Pincode,560068,351484
294,India,2020,2,Pincode,500072,309469
295,India,2020,2,Pincode,421302,298762
296,India,2020,2,Pincode,110092,295000
297,India,2020,2,Pincode,122001,293479
298,India,2020,2,Pincode,560078,247869
299,India,2020,2,Pincode,110086,246312
300,India,2020,2,Pincode,395006,245129
301,India,2020,3,State,maharashtra,31409513
302,India,2020,3,State,uttar pradesh,24838116
303,India,2020,3,State,karnataka,20487550
304,India,2020,3,State,andhra pradesh,15692405
305,India,2020,3,State,rajasthan,14969412
306,India,2020,3,State,telangana,14590882
307,India,2020,3,State,west bengal,14448366
308,India,2020,3,State,tamil nadu,13643451
309,India,2020,3,State,madhya pradesh,12564224
310,India,2020,3,State,gujarat,12467847
311,India,2020,3,District,bengaluru urban,8611452
312,India,2020,3,District,pune,5546002
313,India,2020,3,District,jaipur,3433167
314,India,2020,3,District,thane,3401853
315,India,2020,3,District,mumbai suburban,3304696
316,India,2020,3,District,hyderabad,2875965
317,India,2020,3,District,ahmadabad,2580178
318,India,2020,3,District,rangareddy,2495699
319,India,2020,3,District,north twenty four parganas,2143943
320,India,2020,3,District,medchal malkajgiri,2111567
321,India,2020,3,Pincode,201301,472490
322,India,2020,3,Pincode,110059,393571
323,India,2020,3,Pincode,560068,373446
324,India,2020,3,Pincode,421302,328833
325,India,2020,3,Pincode,500072,328018
326,India,2020,3,Pincode,110092,314384
327,India,2020,3,Pincode,122001,314031
328,India,2020,3,Pincode,110086,267186
329,India,2020,3,Pincode,560078,265627
330,India,2020,3,Pincode,121004,261230
331,India,2020,4,State,maharashtra,34432631
332,India,2020,4,State,uttar pradesh,27249134
333,India,2020,4,State,karnataka,22400182
334,India,2020,4,State,andhra pradesh,17076565
335,India,2020,4,State,rajasthan,16329494
336,India,2020,4,State,telangana,15927797
337,India,2020,4,State,west bengal,15662093
338,India,2020,4,State,tamil nadu,15357586
339,India,2020,4,State,madhya pradesh,13737947
340,India,2020,4,State,gujarat,13605203
341,India,2020,4,District,bengaluru urban,9286243
342,India,2020,4,District,pune,6033615
343,India,2020,4,District,thane,3727358
344,India,2020,4,District,jaipur,3679874
345,India,2020,4,District,mumbai suburban,3609970
346,India,2020,4,District,hyderabad,3142385
347,India,2020,4,District,ahmadabad,2787991
348,India,2020,4,District,rangareddy,2704868
349,India,2020,4,District,north twenty four parganas,2321888
350,India,2020,4,District,medchal malkajgiri,2282695
351,India,2020,4,Pincode,201301,504506
352,India,2020,4,Pincode,110059,423149
353,India,2020,4,Pincode,560068,399638
354,India,2020,4,Pincode,421302,365506
355,India,2020,4,Pincode,500072,350832
356,India,2020,4,Pincode,122001,336803
357,India,2020,4,Pincode,110092,335783
358,India,2020,4,Pincode,110086,288308
359,India,2020,4,Pincode,560078,285544
360,India,2020,4,Pincode,121004,283882
361,India,2021,1,State,maharashtra,37077537
362,India,2021,1,State,uttar pradesh,29482075
363,India,2021,1,State,karnataka,24095832
364,India,2021,1,State,andhra pradesh,18363733
365,India,2021,1,State,rajasthan,17661088
366,India,2021,1,State,telangana,17149069
367,India,2021,1,State,west bengal,16808799
368,India,2021,1,State,tamil nadu,16632608
369,India,2021,1,State,madhya pradesh,14839427
370,India,2021,1,State,gujarat,14670126
371,India,2021,1,District,bengaluru urban,9955387
372,India,2021,1,District,pune,6481971
373,India,2021,1,District,thane,4014464
374,India,2021,1,District,jaipur,3951866
375,India,2021,1,District,mumbai suburban,3886500
376,India,2021,1,District,hyderabad,3379663
377,India,2021,1,District,ahmadabad,2999575
378,India,2021,1,District,rangareddy,2906635
379,India,2021,1,District,north twenty four parganas,2491076
380,India,2021,1,District,surat,2458596
381,India,2021,1,Pincode,201301,541127
382,India,2021,1,Pincode,110059,454201
383,India,2021,1,Pincode,560068,427525
384,India,2021,1,Pincode,421302,396179
385,India,2021,1,Pincode,500072,375272
386,India,2021,1,Pincode,122001,361360
387,India,2021,1,Pincode,110092,359376
388,India,2021,1,Pincode,110086,310419
389,India,2021,1,Pincode,121004,306230
390,India,2021,1,Pincode,560078,305721
391,India,2021,2,State,maharashtra,39664697
392,India,2021,2,State,uttar pradesh,31651894
393,India,2021,2,State,karnataka,25751023
394,India,2021,2,State,andhra pradesh,19620905
395,India,2021,2,State,rajasthan,18980985
396,India,2021,2,State,telangana,18306880
397,India,2021,2,State,west bengal,17979979
398,India,2021,2,State,tamil nadu,17804542
399,India,2021,2,State,madhya pradesh,15940935
400,India,2021,2,State,gujarat,15735981
401,India,2021,2,District,bengaluru urban,10604609
402,India,2021,2,District,pune,6915820
403,India,2021,2,District,thane,4290066
404,India,2021,2,District,jaipur,4226231
405,India,2021,2,District,mumbai suburban,4151227
